"","GB_Code.","Name.","ADM2_EN","ADM2_PCODE","flag_type"
"304",410700,"Xinxiangshi","Xinxiang","CN041130","none"
"305",411500,"Xinyangshi","Xinyang","CN041140","none"
"306",360500,"Xinyushi","Xinyu","CN036090","none"
"307",140900,"Xinzhoushi","Xinzhou","CN014090","none"
"308",532800,"Xishuangbannadaizuzizhizhou","Xishuangbanna Dai Autonomous Prefecture","CN053140","none"
"309",341800,"Xuanchengshi","Xuancheng","CN034160","none"
"310",411000,"Xuchangshi","Xuchang","CN041150","none"
"311",320300,"Xuzhoushi","Xuzhou","CN032100","none"
"312",511800,"Yaanshi","Ya'an","CN051180","none"
"313",610600,"Yananshi","Yan'an","CN061090","none"
"314",222400,"Yanbianchaoxianzuzizhizhou","Yanbian Korean Autonomous Prefecture","CN022090","none"
"315",320900,"Yanchengshi","Yancheng","CN032110","none"
"316",441700,"Yangjiangshi","Yangjiang","CN044160","none"
"317",140300,"Yangquanshi","Yangquan","CN014100","none"
"318",321000,"Yangzhoushi","Yangzhou","CN032120","none"
"319",370600,"Yantaishi","Yantai","CN037150","none"
"320",511500,"Yibinshi","Yibin","CN051190","none"
"321",420500,"Yichangshi","Yichang","CN042170","none"
"322",640100,"Yinchuanshi","Yinchuan","CN064040","none"
"323",210800,"Yingkoushi","Yingkou","CN021140","none"
"324",360600,"Yingtanshi","Yingtan","CN036110","none"
"325",430900,"Yiyangshi","Yiyang","CN043100","none"
"326",431100,"Yongzhoushi","Yongzhou","CN043110","none"
"327",430600,"Yueyangshi","Yueyang","CN043120","none"
"328",140800,"Yunchengshi","Yuncheng","CN014110","none"
"329",445300,"Yunfushi","Yunfu","CN044170","none"
"330",632700,"Yushuzangzuzizhizhou","Yushu Tibetan Autonomous Prefecture","CN063080","none"
"331",530400,"Yuxishi","Yuxi","CN053150","none"
"332",370400,"Zaozhuangshi","Zaozhuang","CN037160","none"
"333",430800,"Zhangjiajieshi","Zhangjiajie","CN043130","none"
"334",130700,"Zhangjiakoushi","Zhangjiakou","CN013110","none"
"335",620700,"Zhangyeshi","Zhangye","CN062140","none"
"336",350600,"Zhangzhoushi","Zhangzhou","CN035090","none"
"337",440800,"Zhanjiangshi","Zhanjiang","CN044180","none"
"338",441200,"Zhaoqingshi","Zhaoqing","CN044190","none"
"339",530600,"Zhaotongshi","Zhaotong","CN053160","none"
"340",410100,"Zhengzhoushi","Zhengzhou","CN041160","none"
"341",321100,"Zhenjiangshi","Zhenjiang","CN032130","none"
"342",442000,"Zhongshanshi","Zhongshan","CN044200","none"
"343",640500,"Zhongweishi","Zhongwei","CN064050","none"
"344",411600,"Zhoukoushi","Zhoukou","CN041170","none"
"345",330900,"Zhoushanshi","Zhoushan","CN033110","none"
"346",440400,"Zhuhaishi","Zhuhai","CN044210","none"
"347",411700,"Zhumadianshi","Zhumadian","CN041180","none"
"348",430200,"Zhuzhoushi","Zhuzhou","CN043140","none"
"349",370300,"Ziboshi","Zibo","CN037170","none"
"350",510300,"Zigongshi","Zigong","CN051200","none"
"351",512000,"Ziyangshi","Ziyang","CN051210","none"
"352",520300,"Zunyishi","Zunyi","CN052090","none"
