Location,Hour,Min
Wenzhoushi_330300,16,46
Shantoushi_440500,21,50
Putianshi_350300,20,45
Xiamenshi_350200,20,22
Zhoushanshi_330900,14,22
Yanbianchaoxianzuzizhizhou_222400,13,30
Mudanjiangshi_231000,14,49
Jiamusishi_230800,17,38
Hegangshi_230400,19,15
Qitaiheshi_230900,16,37
Jixishi_230300,17,46
Shuangyashanshi_230500,19,14
