ID,100_initial_infections_at,Name,Beijing_100_infections_time,distance_from_Beijing,population,Longitude,Latitude
230600,Daqingshi_230600,Daqing,63,4197969.943688357,3370662.9977651834,124.66710973748991,46.324115666857544
230800,Jiamusishi_230800,Jiamusi,66,4838727.35776512,2737813.865146637,132.17989902728277,47.23216647531598
230900,Qitaiheshi_230900,Qitaihe,72,4903734.777287199,1028425.8834786415,130.9692548567594,45.90805152005253
231000,Mudanjiangshi_231000,Mudanjiang,65,4692972.109302563,2871188.0889608264,129.83045657639917,44.60483319681415
231100,Heiheshi_231100,Heihe,69,4326179.219713754,1611071.9829954507,126.93658063923348,49.22984170647968
231200,Suihuashi_231200,Suihua,69,4325155.060639263,5635429.814770341,126.61175738911085,46.866953816097535
232700,Daxinganlingdiqu_232700,Daxinganling Prefecture,65,4070793.033017862,287717.35502898693,124.17855840192108,52.29851402369444
310000,Shanghaishi_310000,Shanghai Municipality,60,4410140.855471215,30990581.62995529,121.38987617852365,31.164606106486964
320100,Nanjingshi_320100,Nanjing,61,4104906.2985002254,10541162.760114431,118.8282611728664,31.921398906113534
320200,Wuxishi_320200,Wuxi,66,4269607.01182529,7957573.6538033495,120.06556959065948,31.517026878528544
320300,Xuzhoushi_320300,Xuzhou,65,3752659.673578043,8113360.850665331,117.49972157112173,34.33870086121127
320400,Changzhoushi_320400,Changzhou,67,4224486.276270816,5535662.409371614,119.61545024825011,31.625874450932884
320600,Nantongshi_320600,Nantong,67,4262939.911388496,6678797.6505150795,120.96756139427627,32.209501721005516
320700,Lianyungangshi_320700,Lianyungang,67,3969688.8331069686,4145975.100821972,119.10062146045559,34.52674412182035
320800,Huaianshi_320800,Huai'an,70,4034498.8676265716,4483263.565946817,118.97843692528913,33.36548482094776
320900,Yanchengshi_320900,Yancheng,69,4103731.053549296,6718542.6135391,120.13316809873031,33.5306134207752
321000,Yangzhoushi_321000,Yangzhou,66,4120131.811733767,4397174.697696924,119.46588081810043,32.73051855567596
321100,Zhenjiangshi_321100,Zhenjiang,68,4178961.802362302,3336800.0065262318,119.44655530816645,32.009662673796036
321300,Suqianshi_321300,Suqian,70,3956195.1871186653,4459885.576781988,118.49056573247974,33.73151965237436
330100,Hangzhoushi_330100,Hangzhou,60,4269315.652841351,10389630.151901484,119.42039296045965,29.88344684919135
330200,Ningboshi_330200,Ningbo,69,4483613.561898314,8767060.850094318,121.44234229949458,29.709953576282164
330300,Wenzhoushi_330300,Wenzhou,73,4509809.6809252,9588293.859657764,120.39199735296827,27.888833013978363
330400,Jiaxingshi_330400,Jiaxing,69,4397341.157151872,5562342.307675362,120.74836020502683,30.659608066042402
330500,Huzhoushi_330500,Huzhou,68,4287173.870007015,3040137.877990008,119.84652656732942,30.74159365751658
330600,Shaoxingshi_330600,Shaoxing,71,4403298.147239257,5362592.344079971,120.61757429924677,29.701746684984183
330700,Jinhuashi_330700,Jinhua,70,4373405.513858074,6279291.226139069,119.94365272441661,29.10259970672994
330800,Quzhoushi_330800,Quzhou,72,4256915.86476194,2147173.862197876,118.6630421988003,28.926669761346858
330900,Zhoushanshi_330900,Zhoushan,64,4584155.815378275,642327.4013638496,122.1524793069303,30.111213906838724
331100,Lishuishi_331100,Lishui,74,4371671.13386748,2021591.1550381184,119.48842141890742,28.184914200046748
340100,Hefeishi_340100,Hefei,62,3937217.9667344587,8576748.528220654,117.3367891407399,31.788444379109258
340200,Wuhushi_340200,Wuhu,64,4087674.402457951,3414659.6729984283,118.12538837255232,31.147767871497255
340300,Bengbushi_340300,Bengbu,66,3887309.9964488773,2985542.158106804,117.30268045967317,33.1028811049759
340400,Huainanshi_340400,Huainan,69,3863511.076275347,2379018.263010025,116.71573271348744,32.763914048510664
340500,Maanshanshi_340500,Ma'anshan,66,4087107.2216627304,2275662.1266868114,118.34467639261325,31.619838130496618
340600,Huaibeishi_340600,Huaibei,70,3815297.968083472,2337810.3193421364,116.7248841928068,33.736117346869975
340700,Tonglingshi_340700,Tongling,66,4114416.9637274826,766680.458013773,117.88387830620893,30.93989685800396
340800,Anqingshi_340800,Anqing,68,3940844.1907154666,5501119.82296753,116.57295463226772,30.601319982806668
341000,Huangshanshi_341000,Huangshan,65,4132437.4592871093,1351177.6991717815,118.04881716425949,29.907052470503235
341100,Chuzhoushi_341100,Chuzhou,71,3956013.045646711,3967066.3648278713,118.0952119021103,32.54073676047741
341200,Fuyangshi_341200,Fuyang,66,3706012.1630990403,7292449.676030159,115.67644952855113,32.89716725259856
341500,Luanshi_341500,Lu'an,71,3841419.5683528604,5406177.921385765,116.29629607067116,31.76138259943712
341600,Bozhoushi_341600,Bozhou,69,3720616.353009181,4803801.857208252,116.15388900432251,33.433194249547704
341700,Chizhoushi_341700,Chizhou,68,4073744.806042028,1418781.3256998062,117.358931731095,30.284897693963963
341800,Xuanchengshi_341800,Xuancheng,71,4170541.5291419607,2393394.264800787,118.83885272951073,30.68513403792088
350200,Xiamenshi_350200,Xiamen,63,4544325.659442164,4891272.981667519,118.11365919954204,24.701579490163898
350300,Putianshi_350300,Putian,72,4542272.2743831305,2540352.9668364525,118.85690880637536,25.485354393688095
350400,Sanmingshi_350400,Sanming,76,4279459.747008233,2448915.894880057,117.37999100921826,26.315291778003647
350500,Quanzhoushi_350500,Quanzhou,76,4482297.431822042,8534865.636612415,118.2455892859688,25.234195842090166
350600,Zhangzhoushi_350600,Zhangzhou,80,4472920.359985609,4840821.185439348,117.4314436019375,24.39556077589841
350700,Nanpingshi_350700,Nanping,74,4268445.215367739,2483824.6175243855,118.11822950125459,27.34320654701869
350800,Longyanshi_350800,Longyan,76,4313587.916499852,2444869.3260183334,116.72151759132902,25.305688921741268
350900,Ningdeshi_350900,Ningde,74,4470937.6993475575,2426302.1770176888,119.4546837584875,26.987282309347467
360100,Nanchangshi_360100,Nanchang,63,4031464.93080835,5938411.558449744,116.0203151409538,28.646818767516095
360200,Jingdezhenshi_360200,Jingdezhen,69,4126102.6287551587,1740834.91369915,117.26321744722172,29.30134297107695
360300,Pingxiangshi_360300,Pingxiang,74,3946952.7111572465,2015410.673629284,113.88580885352033,27.503392026463157
360400,Jiujiangshi_360400,Jiujiang,69,3881201.971406828,4900927.046776294,115.41244473534144,29.313775528736652
360500,Xinyushi_360500,Xinyu,74,4016503.774847855,1211464.6629891396,114.85620992317403,27.818286444623958
360600,Yingtanshi_360600,Yingtan,74,4198071.7742788065,1249000.3011431694,117.09434219198474,28.213634581230057
360700,Ganzhoushi_360700,Ganzhou,77,4120387.652263114,9486849.50271988,115.25185132585392,25.704056185259162
360800,Jianshi_360800,Ji'an,73,4016250.6007873896,5229944.744581699,114.81580001180606,26.961913394078817
361100,Shangraoshi_361100,Shangrao,76,4089899.852767244,7230368.704909325,117.45071998293892,28.771345431299885
370100,Jinanshi_370100,Jinan,54,3658842.7778176586,7633725.377641916,117.06105056289549,36.71571518734336
370200,Qingdaoshi_370200,Qingdao,57,3967112.1544239125,9414383.247399569,120.11334382130221,36.45831388072217
370300,Ziboshi_370300,Zibo,62,3747758.3735561026,4985486.620795488,118.03031239730794,36.60765542749116
370400,Zaozhuangshi_370400,Zaozhuang,63,3775233.542177284,3915968.022662163,117.39286419446977,34.907910335328665
370500,Dongyingshi_370500,Dongying,59,3777603.702391113,2254908.413056016,118.54525447995417,37.57613017315995
370600,Yantaishi_370600,Yantai,60,3959716.061586928,6719726.819449663,120.77427680037921,37.22849803559527
370700,Weifangshi_370700,Weifang,62,3838429.393042045,9639713.080731869,119.04530269047605,36.514076535574574
370800,Jiningshi_370800,Jining,63,3636575.1741068405,8798155.998080969,116.72433395305534,35.34636975558489
370900,Taianshi_370900,Tai'an,60,3650897.658868001,5670240.86445713,117.0297928387316,35.98547560500156
371000,Weihaishi_371000,Weihai,57,4128944.388378713,2563930.5620257854,121.95215905344168,37.116576792295234
371100,Rizhaoshi_371100,Rizhao,63,3936530.4047069466,2689361.88472867,119.1116807108636,35.56888208364595
371300,Linyishi_371300,Linyi,64,3823793.306979992,10056065.858865261,118.2638494590365,35.302374179180156
371400,Dezhoushi_371400,Dezhou,55,3570265.7419451484,6260724.30450201,116.63343474381084,37.23787042807961
371500,Liaochengshi_371500,Liaocheng,58,3545520.809927344,6361384.412071466,115.85700983998508,36.445939026256234
371600,Binzhoushi_371600,Binzhou,60,3694034.26281965,4000454.598196268,117.80798249154259,37.48183579637488
371700,Hezeshi_371700,Heze,60,3577053.888200063,8496548.46367979,115.6678909426056,35.14267159541519
410100,Zhengzhoushi_410100,Zhengzhou,58,3402592.6332874987,11172920.86454725,113.45641610600005,34.62044560865537
410200,Kaifengshi_410200,Kaifeng,64,3526062.9072928024,4614262.798120499,114.5232599221913,34.59822506668471
410300,Luoyangshi_410300,Luoyang,63,3260067.3723487495,6646800.268051624,112.00074426487296,34.284292004602875
410400,Pingdingshanshi_410400,Pingdingshan,67,3404330.157344377,5002394.268591881,112.99441381291759,33.795917906749764
410500,Anyangshi_410500,Anyang,58,3395755.193178253,5181527.278662205,114.34269752412536,35.86868928227821
410600,Hebishi_410600,Hebi,61,3445408.660818677,1785671.422355175,114.29563155412151,35.72895134047131
410700,Xinxiangshi_410700,Xinxiang,63,3409310.6743249283,6150867.286064147,114.06178431488352,35.25626725410908
